"FiscalYear","County","Department","FundType","RegionCode","RegionName","Program","Budget","ActualSpend","Beneficiaries"
2022,"Yuba","Social Services","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",142.8,124.7,248096
2023,"Yuba","Social Services","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",87.4,93.5,450135
2024,"Yuba","Social Services","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",143,138.5,392897
2020,"Del Norte","Social Services","General Fund","Region 2","North Coast","Child Welfare",58.3,66.2,242575
2021,"Del Norte","Social Services","General Fund","Region 2","North Coast","Child Welfare",187.3,209.5,442999
2022,"Del Norte","Social Services","General Fund","Region 2","North Coast","Food Assistance",182.9,176.6,105165
2023,"Del Norte","Social Services","General Fund","Region 2","North Coast","Child Welfare",152.9,153.9,180899
2024,"Del Norte","Social Services","General Fund","Region 2","North Coast","Food Assistance",193.1,210.2,474687
2020,"Humboldt","Social Services","General Fund","Region 2","North Coast","Food Assistance",133.6,151.2,426029
2021,"Humboldt","Social Services","General Fund","Region 2","North Coast","Food Assistance",167.5,160.8,92719
2022,"Humboldt","Social Services","General Fund","Region 2","North Coast","Food Assistance",170,158.4,95634
2023,"Humboldt","Social Services","General Fund","Region 2","North Coast","Food Assistance",89.8,84,54981
2024,"Humboldt","Social Services","General Fund","Region 2","North Coast","Child Welfare",94,100.2,384871
2020,"Lake","Social Services","General Fund","Region 2","North Coast","Food Assistance",83.9,87.9,420273
2021,"Lake","Social Services","General Fund","Region 2","North Coast","Child Welfare",179.4,182.1,62524
2022,"Lake","Social Services","General Fund","Region 2","North Coast","Child Welfare",158.6,144.4,446872
2023,"Lake","Social Services","General Fund","Region 2","North Coast","Food Assistance",73,76.1,408847
2024,"Lake","Social Services","General Fund","Region 2","North Coast","Food Assistance",178,197.1,73039
2020,"Mendocino","Social Services","General Fund","Region 2","North Coast","Child Welfare",144.9,148.4,259340
2021,"Mendocino","Social Services","General Fund","Region 2","North Coast","Child Welfare",133.3,138.9,260883
2022,"Mendocino","Social Services","General Fund","Region 2","North Coast","Food Assistance",56.6,61.4,203783
2023,"Mendocino","Social Services","General Fund","Region 2","North Coast","Food Assistance",91.9,90.3,95120
2024,"Mendocino","Social Services","General Fund","Region 2","North Coast","Food Assistance",139.6,139.5,57040
2020,"Napa","Social Services","General Fund","Region 2","North Coast","Food Assistance",193.5,178,442256
2021,"Napa","Social Services","General Fund","Region 2","North Coast","Food Assistance",58.8,64.7,255725
2022,"Napa","Social Services","General Fund","Region 2","North Coast","Child Welfare",118.6,106.4,409361
2023,"Napa","Social Services","General Fund","Region 2","North Coast","Food Assistance",111.3,117.6,250902
2024,"Napa","Social Services","General Fund","Region 2","North Coast","Food Assistance",126.4,107.7,246052
2020,"Sonoma","Social Services","General Fund","Region 2","North Coast","Food Assistance",55.9,55.8,161750
2021,"Sonoma","Social Services","General Fund","Region 2","North Coast","Food Assistance",179.5,191.3,466386
2022,"Sonoma","Social Services","General Fund","Region 2","North Coast","Child Welfare",89.2,88,106498
2023,"Sonoma","Social Services","General Fund","Region 2","North Coast","Child Welfare",119.1,114.3,452962
2024,"Sonoma","Social Services","General Fund","Region 2","North Coast","Child Welfare",82.8,72.9,350396
2020,"Trinity","Social Services","General Fund","Region 2","North Coast","Food Assistance",190.4,177.3,67793
2021,"Trinity","Social Services","General Fund","Region 2","North Coast","Child Welfare",156.6,145.2,98865
2022,"Trinity","Social Services","General Fund","Region 2","North Coast","Food Assistance",109.9,121.1,357822
2023,"Trinity","Social Services","General Fund","Region 2","North Coast","Food Assistance",92,89.1,278813
2024,"Trinity","Social Services","General Fund","Region 2","North Coast","Food Assistance",155.5,178.4,422790
2020,"Alameda","Social Services","General Fund","Region 3","Bay Area","Food Assistance",83.2,91.3,207535
2021,"Alameda","Social Services","General Fund","Region 3","Bay Area","Food Assistance",94,93.7,380464
2022,"Alameda","Social Services","General Fund","Region 3","Bay Area","Child Welfare",183.4,199.1,409236
2023,"Alameda","Social Services","General Fund","Region 3","Bay Area","Child Welfare",124.9,127.8,148978
2024,"Alameda","Social Services","General Fund","Region 3","Bay Area","Food Assistance",192.9,176.1,236147
2020,"Contra Costa","Social Services","General Fund","Region 3","Bay Area","Food Assistance",166.4,181.7,191090
2021,"Contra Costa","Social Services","General Fund","Region 3","Bay Area","Child Welfare",179.4,169.5,433651
2022,"Contra Costa","Social Services","General Fund","Region 3","Bay Area","Food Assistance",136.3,154.6,219369
2023,"Contra Costa","Social Services","General Fund","Region 3","Bay Area","Child Welfare",60.2,68.5,491705
2024,"Contra Costa","Social Services","General Fund","Region 3","Bay Area","Child Welfare",127.7,131.3,409501
2020,"Marin","Social Services","General Fund","Region 3","Bay Area","Child Welfare",184.9,161.5,117499
2021,"Marin","Social Services","General Fund","Region 3","Bay Area","Food Assistance",54.6,54.2,184709
2022,"Marin","Social Services","General Fund","Region 3","Bay Area","Food Assistance",66.4,67.8,95110
2023,"Marin","Social Services","General Fund","Region 3","Bay Area","Child Welfare",144.7,146.4,227081
2024,"Marin","Social Services","General Fund","Region 3","Bay Area","Food Assistance",120.7,124.7,418429
2020,"San Francisco","Social Services","General Fund","Region 3","Bay Area","Child Welfare",198.5,202.8,279058
2021,"San Francisco","Social Services","General Fund","Region 3","Bay Area","Food Assistance",165.3,155.8,384391
2022,"San Francisco","Social Services","General Fund","Region 3","Bay Area","Child Welfare",166.1,173,267907
2023,"San Francisco","Social Services","General Fund","Region 3","Bay Area","Food Assistance",112.3,98.3,404548
2024,"San Francisco","Social Services","General Fund","Region 3","Bay Area","Food Assistance",199.6,184,488560
2020,"San Mateo","Social Services","General Fund","Region 3","Bay Area","Child Welfare",116,110.7,235611
2021,"San Mateo","Social Services","General Fund","Region 3","Bay Area","Child Welfare",195.1,189.2,334627
2022,"San Mateo","Social Services","General Fund","Region 3","Bay Area","Child Welfare",132.5,152.2,461879
2023,"San Mateo","Social Services","General Fund","Region 3","Bay Area","Child Welfare",162.9,140.5,359625
2024,"San Mateo","Social Services","General Fund","Region 3","Bay Area","Child Welfare",149.8,147.8,192117
2020,"Santa Clara","Social Services","General Fund","Region 3","Bay Area","Food Assistance",174.5,170.1,195800
2021,"Santa Clara","Social Services","General Fund","Region 3","Bay Area","Child Welfare",148.9,145,250387
2022,"Santa Clara","Social Services","General Fund","Region 3","Bay Area","Food Assistance",50.9,47.9,247767
2023,"Santa Clara","Social Services","General Fund","Region 3","Bay Area","Child Welfare",56.3,57.5,73768
2024,"Santa Clara","Social Services","General Fund","Region 3","Bay Area","Food Assistance",188.8,205.4,117407
2020,"Solano","Social Services","General Fund","Region 3","Bay Area","Child Welfare",114.5,101.5,498571
2021,"Solano","Social Services","General Fund","Region 3","Bay Area","Food Assistance",145.2,144.3,442499
2022,"Solano","Social Services","General Fund","Region 3","Bay Area","Food Assistance",141.9,153.6,397282
2023,"Solano","Social Services","General Fund","Region 3","Bay Area","Child Welfare",193,174,244197
2024,"Solano","Social Services","General Fund","Region 3","Bay Area","Child Welfare",158.4,170.9,51253
2020,"Alpine","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",81.7,76.7,54912
2021,"Alpine","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",106.3,102,428140
2022,"Alpine","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",149.5,143.5,259028
2023,"Alpine","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",86.2,86.8,102991
2024,"Alpine","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",136.5,121.7,271556
2020,"Amador","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",62.9,59.3,439882
2021,"Amador","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",190.8,210.2,304137
2022,"Amador","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",85,91.5,237872
2023,"Amador","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",92.8,95.4,300026
2024,"Amador","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",117.7,101.8,364824
2020,"Calaveras","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",119.6,125.8,288280
2021,"Calaveras","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",89.4,87,151353
2022,"Calaveras","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",80.4,69.7,435491
2023,"Calaveras","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",158.6,169.7,297365
2024,"Calaveras","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",113.4,100.1,497719
2020,"Madera","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",146.5,166.5,486849
2021,"Madera","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",144.4,135.4,201970
2022,"Madera","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",58.1,52.6,66325
2023,"Madera","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",121.8,136.3,99375
2024,"Madera","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",143.7,127.8,292201
2020,"Mariposa","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",99.2,94.9,162514
2021,"Mariposa","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",155.9,153.9,427157
2022,"Mariposa","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",185,205.8,381316
2023,"Mariposa","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",109.5,108.7,499585
2024,"Mariposa","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",108.9,115.1,248617
2020,"Merced","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",123.4,133.6,188639
2021,"Merced","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",58,56.8,328854
2022,"Merced","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",99.9,98.5,256210
2023,"Merced","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",78.7,72.6,422962
2024,"Merced","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",107.7,100.7,185254
2020,"Mono","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",115.6,129.9,271480
2021,"Mono","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",73.5,83.9,320496
2022,"Mono","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",60.8,64.9,497841
2023,"Mono","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",149.7,143.9,427332
2024,"Mono","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",112.8,112.5,117027
2020,"San Joaquin","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",66.5,72.7,387831
2021,"San Joaquin","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",119.4,121.5,205249
2022,"San Joaquin","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",91.6,99.1,78015
2023,"San Joaquin","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",63.9,59.4,109849
2024,"San Joaquin","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",77.1,73.2,457119
2020,"Stanislaus","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",128.6,146.7,164578
2021,"Stanislaus","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",78.8,89.5,350259
2022,"Stanislaus","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",127.3,135.8,203821
2023,"Stanislaus","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",103.4,91.7,66105
2024,"Stanislaus","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",174,190.6,379963
2020,"Tuolumne","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",97.1,87.6,447570
2021,"Tuolumne","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",128.2,115.1,485955
2022,"Tuolumne","Social Services","General Fund","Region 4","Central Valley (North)","Child Welfare",86.3,96.1,359696
2023,"Tuolumne","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",98.8,85.8,217612
2024,"Tuolumne","Social Services","General Fund","Region 4","Central Valley (North)","Food Assistance",110,95.5,433561
2020,"Monterey","Social Services","General Fund","Region 5","Central Coast","Child Welfare",147.5,168.5,284230
2021,"Monterey","Social Services","General Fund","Region 5","Central Coast","Child Welfare",58.5,62.7,397994
2022,"Monterey","Social Services","General Fund","Region 5","Central Coast","Child Welfare",155.8,157.1,233122
2023,"Monterey","Social Services","General Fund","Region 5","Central Coast","Child Welfare",131.6,134.7,471688
2024,"Monterey","Social Services","General Fund","Region 5","Central Coast","Food Assistance",100.9,94.6,156120
2020,"San Benito","Social Services","General Fund","Region 5","Central Coast","Food Assistance",160.4,173.4,226717
2021,"San Benito","Social Services","General Fund","Region 5","Central Coast","Food Assistance",90,89.2,427014
2022,"San Benito","Social Services","General Fund","Region 5","Central Coast","Food Assistance",65,70.5,102008
2023,"San Benito","Social Services","General Fund","Region 5","Central Coast","Food Assistance",106,100.1,365919
2024,"San Benito","Social Services","General Fund","Region 5","Central Coast","Child Welfare",61.8,57.2,470199
2020,"San Luis Obispo","Social Services","General Fund","Region 5","Central Coast","Child Welfare",83.9,92.7,298953
2021,"San Luis Obispo","Social Services","General Fund","Region 5","Central Coast","Food Assistance",198.1,183.1,266837
2022,"San Luis Obispo","Social Services","General Fund","Region 5","Central Coast","Child Welfare",67.8,73.1,496709
2023,"San Luis Obispo","Social Services","General Fund","Region 5","Central Coast","Child Welfare",139.2,151.4,496997
2024,"San Luis Obispo","Social Services","General Fund","Region 5","Central Coast","Food Assistance",153.8,176.4,378573
2020,"Santa Barbara","Social Services","General Fund","Region 5","Central Coast","Child Welfare",128.2,140.2,188991
2021,"Santa Barbara","Social Services","General Fund","Region 5","Central Coast","Child Welfare",110.1,96.5,74074
2022,"Santa Barbara","Social Services","General Fund","Region 5","Central Coast","Food Assistance",113.2,100.7,359348
2023,"Santa Barbara","Social Services","General Fund","Region 5","Central Coast","Child Welfare",129.4,124.3,364523
2024,"Santa Barbara","Social Services","General Fund","Region 5","Central Coast","Food Assistance",153.3,135.3,473647
2020,"Santa Cruz","Social Services","General Fund","Region 5","Central Coast","Child Welfare",197.6,208.8,320490
2021,"Santa Cruz","Social Services","General Fund","Region 5","Central Coast","Food Assistance",127.2,113.5,84509
2022,"Santa Cruz","Social Services","General Fund","Region 5","Central Coast","Food Assistance",123.9,140.7,119378
2023,"Santa Cruz","Social Services","General Fund","Region 5","Central Coast","Child Welfare",93.9,93.7,248551
2024,"Santa Cruz","Social Services","General Fund","Region 5","Central Coast","Child Welfare",74,66.3,469972
2020,"Ventura","Social Services","General Fund","Region 5","Central Coast","Child Welfare",99.9,99.6,171698
2021,"Ventura","Social Services","General Fund","Region 5","Central Coast","Food Assistance",94,94.2,480753
2022,"Ventura","Social Services","General Fund","Region 5","Central Coast","Food Assistance",104.8,120.2,102129
2023,"Ventura","Social Services","General Fund","Region 5","Central Coast","Food Assistance",121.4,115.8,441157
2024,"Ventura","Social Services","General Fund","Region 5","Central Coast","Food Assistance",106.2,112.7,161977
2020,"Fresno","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",114,98.9,266870
2021,"Fresno","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",83.9,82.4,161227
2022,"Fresno","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",58.4,52.1,88006
2023,"Fresno","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",178.8,168,179596
2024,"Fresno","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",134.2,118.9,325946
2020,"Inyo","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",130.6,122.6,157641
2021,"Inyo","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",142.5,122.7,468306
2022,"Inyo","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",83,77.2,447006
2023,"Inyo","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",127.9,131.5,287020
2024,"Inyo","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",158.4,141.1,323840
2020,"Kern","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",54.2,55.3,424664
2021,"Kern","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",145.5,148.5,212006
2022,"Kern","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",161,173.9,316205
2023,"Kern","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",116.8,99.3,266280
2024,"Kern","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",169.6,189.7,281841
2020,"Kings","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",148.4,131.5,390262
2021,"Kings","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",141.3,121.2,197925
2022,"Kings","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",77.4,85.3,165808
2023,"Kings","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",161.4,153.6,130241
2024,"Kings","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",113.2,115.2,417010
2020,"Tulare","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",66.1,58.8,310859
2021,"Tulare","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",73.8,78.5,358613
2022,"Tulare","Social Services","General Fund","Region 6","Central Valley (South)","Food Assistance",167.9,171,483869
2023,"Tulare","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",67.7,63.2,293578
2024,"Tulare","Social Services","General Fund","Region 6","Central Valley (South)","Child Welfare",120,132.1,68565
2020,"Riverside","Social Services","General Fund","Region 7","Inland Empire","Child Welfare",105.5,118.8,166239
2021,"Riverside","Social Services","General Fund","Region 7","Inland Empire","Child Welfare",124,129.5,340261
2022,"Riverside","Social Services","General Fund","Region 7","Inland Empire","Child Welfare",135,130.3,79165
2023,"Riverside","Social Services","General Fund","Region 7","Inland Empire","Food Assistance",193.1,191.2,355992
2024,"Riverside","Social Services","General Fund","Region 7","Inland Empire","Child Welfare",77.1,82.2,113640
2020,"San Bernardino","Social Services","General Fund","Region 7","Inland Empire","Child Welfare",108,103.4,269766
2021,"San Bernardino","Social Services","General Fund","Region 7","Inland Empire","Food Assistance",114.6,114.8,393603
2022,"San Bernardino","Social Services","General Fund","Region 7","Inland Empire","Child Welfare",177.4,178.4,70043
2023,"San Bernardino","Social Services","General Fund","Region 7","Inland Empire","Food Assistance",55,58,217377
2024,"San Bernardino","Social Services","General Fund","Region 7","Inland Empire","Child Welfare",53.4,58.3,163055
2020,"Los Angeles","Social Services","General Fund","Region 8","Los Angeles","Food Assistance",99.1,94,51246
2021,"Los Angeles","Social Services","General Fund","Region 8","Los Angeles","Child Welfare",101.3,111,420271
2022,"Los Angeles","Social Services","General Fund","Region 8","Los Angeles","Food Assistance",181.9,203.4,161557
2023,"Los Angeles","Social Services","General Fund","Region 8","Los Angeles","Child Welfare",134.7,140.9,96209
2024,"Los Angeles","Social Services","General Fund","Region 8","Los Angeles","Food Assistance",68.7,64.6,77758
2020,"Orange","Social Services","General Fund","Region 9","Orange County","Child Welfare",59.3,65.8,482879
2021,"Orange","Social Services","General Fund","Region 9","Orange County","Child Welfare",67.5,77.6,97688
2022,"Orange","Social Services","General Fund","Region 9","Orange County","Food Assistance",175.4,176.5,239249
2023,"Orange","Social Services","General Fund","Region 9","Orange County","Child Welfare",111.9,109.7,54515
2024,"Orange","Social Services","General Fund","Region 9","Orange County","Child Welfare",195.3,220.4,357281
2020,"Imperial","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Food Assistance",155.5,157.8,276621
2021,"Imperial","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Food Assistance",90.3,81,224679
2022,"Imperial","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Child Welfare",183.8,171,470780
2023,"Imperial","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Food Assistance",147.3,152.1,219884
2024,"Imperial","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Food Assistance",199.4,215.4,227115
2020,"San Diego","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Child Welfare",67.2,57.8,448014
2021,"San Diego","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Child Welfare",168.3,172.1,305218
2022,"San Diego","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Food Assistance",196.9,207.5,496149
2023,"San Diego","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Child Welfare",162.4,174,499982
2024,"San Diego","Social Services","General Fund","Region 10","San Diego & Imperial Counties","Child Welfare",166.4,141.9,64980
2020,"Butte","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",196.8,212.3,493004
2021,"Butte","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",99,95.7,337821
2022,"Butte","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",107.3,98.3,104980
2023,"Butte","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",76.7,77.4,417906
2024,"Butte","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",112.3,122.3,317436
2020,"Colusa","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",113.4,120,310882
2021,"Colusa","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",140,123.9,412455
2022,"Colusa","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",111.8,104.3,114916
2023,"Colusa","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",61.7,62.8,227022
2024,"Colusa","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",148.3,138.8,499617
2020,"El Dorado","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",55,60.3,342675
2021,"El Dorado","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",73.2,73.6,247519
2022,"El Dorado","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",194.7,168.8,245895
2023,"El Dorado","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",126.3,118.1,122538
2024,"El Dorado","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",92.4,87.7,290730
2020,"Glenn","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",50.4,53.2,91532
2021,"Glenn","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",98.5,93.9,278466
2022,"Glenn","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",182.7,194,148835
2023,"Glenn","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",74.1,63.4,51574
2024,"Glenn","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",107.5,94.9,183116
2020,"Lassen","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",133.6,130.4,494617
2021,"Lassen","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",124.2,119.5,120365
2022,"Lassen","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",158.4,178.4,331422
2023,"Lassen","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",171.9,192.1,320101
2024,"Lassen","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",111.4,97.4,110394
2020,"Modoc","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",83.7,78.8,52299
2021,"Modoc","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",125.9,112.1,357933
2022,"Modoc","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",95.3,88.6,135381
2023,"Modoc","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",174.4,166.4,56801
2024,"Modoc","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",89.7,98.7,450934
2020,"Nevada","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",124.4,123.5,477314
2021,"Nevada","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",64.5,56.9,344415
2022,"Nevada","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",93.1,94.3,316971
2023,"Nevada","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",176.7,168.4,497528
2024,"Nevada","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",121.4,124.1,288403
2020,"Placer","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",118,109.3,211242
2021,"Placer","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",80,77.4,353388
2022,"Placer","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",88.9,77.3,395963
2023,"Placer","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",131.1,150.4,462300
2024,"Placer","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",158.8,153.9,252189
2020,"Plumas","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",77.7,73.7,441068
2021,"Plumas","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",77.8,79.7,65055
2022,"Plumas","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",187.7,164.7,470683
2023,"Plumas","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",70.1,64.9,101142
2024,"Plumas","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",51,44.2,126864
2020,"Sacramento","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",90.9,89.8,215858
2021,"Sacramento","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",148.4,144.9,320203
2022,"Sacramento","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",126.2,132.7,129925
2023,"Sacramento","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",96.9,90.9,469558
2024,"Sacramento","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",78.8,80.8,119668
2020,"Shasta","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",196.5,217.3,490854
2021,"Shasta","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",161.6,151.4,211602
2022,"Shasta","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",111.1,108.6,410358
2023,"Shasta","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",65.7,59.9,374517
2024,"Shasta","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",152.8,154.2,195378
2020,"Sierra","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",140.4,146.8,462051
2021,"Sierra","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",147.6,127.8,165798
2022,"Sierra","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",163.1,179.1,419280
2023,"Sierra","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",139.7,135.7,216089
2024,"Sierra","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",63.4,62,113839
2020,"Siskiyou","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",154.7,149.7,294454
2021,"Siskiyou","Health","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",53.1,47.5,385872
